Master Record Number,Year,Month,Day,Hour,Weekend,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
901727967,2019,11,4,2100,Weekday,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,S ADAMS & W ALLEN ST,39.15586017,-86.55054979
901736230,2019,11,4,1800,Weekday,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,ADAMS ST & ALLEN,39.15586017,-86.55054979
901669315,2019,7,7,1200,Weekend,1-Car,No injury/unknown,UNSAFE LANE MOVEMENT,HILLSIDE & S ROGERS ST,39.15585533,-86.53876
901746747,2019,12,2,800,Weekday,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SOUTHDOWNS ST & WOODLAWN,39.15584,-86.522528
901753097,2019,12,6,1500,Weekday,2-Car,No injury/unknown,UNSAFE BACKING,E BURKS DR,39.15584,-86.506496
901657388,2019,7,3,800,Weekday,2-Car,No injury/unknown,UNSAFE BACKING,600 BLK W ALLEN ST & FAIRVIEW,39.15583671,-86.5408686
901604212,2019,3,7,0,Weekend,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COPPERBEACH & HEARTWOOD CT,39.1558,-86.57002
901597746,2019,2,6,2200,Weekend,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,BLOOMFIELD RD & SHADELAND,39.15572257,-86.56204045
901626623,2019,5,2,900,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,ALLEN & WASHINGTON ST,39.155664,-86.5324
901733939,2019,11,2,1000,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,ALLEN ST & STRONG,39.15565029,-86.54431968
901700377,2019,9,6,1500,Weekday,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,1200 WEST ALLEN ST & PATTERSON,39.15564402,-86.54339861
901648884,2019,6,1,1300,Weekend,2-Car,No injury/unknown,INSECURE/LEAKY LOAD,ALLEN & PATTERSON DR,39.15563,-86.54331
901652651,2019,6,6,1200,Weekday,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,ALLEN ST & PATTERSON,39.15563,-86.54330135
901688794,2019,9,5,1500,Weekday,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,ALLEN & PATTERSON DR,39.15563,-86.54331
901646332,2019,6,7,2100,Weekend,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S ROGERS ST & W ALLEN,39.15559068,-86.53873596
901689988,2019,9,7,1500,Weekend,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,VERNAL & WEST VERNAL PIKE,39.15546442,-86.56251981
901732613,2019,11,6,1300,Weekday,1-Car,Non-incapacitating,DRIVER ASLEEP OR FATIGUED,ALLEN & BLOOMFIELD RD,39.15537524,-86.56230201
